"target","indication","company_or_program","year","stated_failure_reason","mechanistic_assessment","preclinical_model_used","ontology_category","confidence","source_url","notes"
"gamma-secretase","Alzheimer's disease","Eli Lilly (Semagacestat)","2010","Trial halted — patients showed worsening cognition and increased skin cancer risk vs placebo","gamma-secretase cleaves multiple substrates beyond amyloid including Notch which is essential for immune and gut signaling. Blocking it caused Notch-related toxicity invisible in mouse models. Drug may also have trapped Abeta inside cells rather than reducing it.","Transgenic APP mouse models","A1 - Off-target pathway active in humans silent in model","8","https://www.alzforum.org/therapeutics/semagacestat","Multi-substrate target — pleiotropic enzyme collateral effects"
"amyloid-beta plaques","Alzheimer's disease","Pfizer/Janssen (Bapineuzumab)","2012","No significant cognitive improvement over placebo in Phase 3","Drug successfully cleared amyloid plaques but clearing amyloid did not improve cognition. Amyloid is likely a downstream marker not the upstream cause. Irreversible neuronal loss had already occurred before treatment.","Transgenic APP mouse models","B2 - Biomarker cleared but disease mechanism unaffected","8","https://www.nejm.org/doi/full/10.1056/NEJMoa1304839","Canonical example of biomarker-outcome decoupling in neurodegeneration"
"soluble amyloid-beta","Alzheimer's disease","Eli Lilly (Solanezumab)","2016","Did not meet primary cognitive endpoint in mild-to-moderate AD","Same root failure as bapineuzumab — modifying amyloid did not produce clinical benefit. A dedicated mild-patient trial also failed confirming amyloid hypothesis insufficient as sole driver.","APP/PS1 transgenic mice","B2 - Biomarker cleared but disease mechanism unaffected","8","https://www.nejm.org/doi/full/10.1056/NEJMoa1705971","Third confirmation of amyloid hypothesis failure"
"gamma-secretase modulator","Alzheimer's disease","Myriad Genetics (Tarenflurbil)","2008","No significant effect on cognition or daily activities in Phase 3","Phase 2 benefit was artifact — placebo arm declined faster than expected creating false positive. Drug had poor brain penetration and never reached therapeutic CNS concentrations. Worked in young mice but failed in aged mice.","Tg2576 mice tested in young animals only","C2 - Model too young to predict human disease-stage reality","8","https://www.alzforum.org/news/research-news/paper-alert-phase-3-tarenflurbil-data-published","Phase 2 false positive driven by statistical artifact not biological signal"
"tau protein","Alzheimer's disease","Roche/Genentech (Semorinemab)","2021","Did not slow cognitive or functional decline in mild-to-moderate AD","Tau accumulation in moderate AD may be too advanced to reverse. Drug hit its target but intervening at this disease stage had no clinical benefit. Timing problem not a target problem.","PS19 tau transgenic mouse models","E3 - Enrolled at wrong disease stage","8","https://www.alzforum.org/therapeutics/semorinemab","Early-stage tau intervention may still be valid"
"BACE1","Alzheimer's disease","Merck (Verubecestat)","2018","No clinical benefit — trial stopped early with slight cognitive worsening","Drug powerfully reduced Abeta. Still no cognitive benefit and caused slight worsening. BACE1 has essential functions beyond amyloid processing including synaptic plasticity and myelination — disrupting these caused harm.","APP transgenic mice","A1 - Off-target pathway active in humans underweighted in model","8","https://www.nejm.org/doi/full/10.1056/NEJMoa1706441","Confirmed amyloid reduction insufficient and revealed BACE1 pleiotropic function as risk"
"amyloid-beta multiple forms","Alzheimer's disease","Genentech (Crenezumab)","2019","Did not slow cognitive decline in early Alzheimer's","Designed at lower doses to avoid ARIA brain swelling but doses too low to adequately clear amyloid. Safety-efficacy tradeoff unresolved preclinically.","APP transgenic mice","D3 - Dose required for efficacy incompatible with human safety","6","https://www.alzforum.org/therapeutics/crenezumab","Safety-driven dose reduction created efficacy gap not tested preclinically"
"aggregated amyloid-beta","Alzheimer's disease","Biogen (Aducanumab)","2019","Inconsistent results across two Phase 3 trials — one positive one negative","Phase 2 showed amyloid clearance. Phase 3 contradictory results reflect patient population heterogeneity. Amyloid clearance alone unreliable surrogate for cognitive benefit.","APP transgenic mice","E1 - Patient heterogeneity masked by small Phase 2 population","6","https://www.nejm.org/doi/full/10.1056/NEJMoa2113216","Controversial FDA approval — illustrates how Phase 2 small samples mask heterogeneity"
"CETP","Cardiovascular disease","Pfizer (Torcetrapib)","2006","Excess deaths in treatment arm — trial terminated early","Two failures: off-target aldosterone activation raised blood pressure. More fundamentally epidemiological HDL-cardiovascular correlation was mistaken for causal mechanism. Raising HDL artificially does not replicate protective biology of naturally high HDL.","Hamster and rabbit dyslipidemia models","B1 - Epidemiological correlation mistaken for causal mechanism","8","https://www.nejm.org/doi/full/10.1056/NEJMoa061164","Torcetrapib also had compound-specific aldosterone toxicity on top of class-level hypothesis failure"
"CETP","Cardiovascular disease","Roche (Dalcetrapib)","2012","No clinically meaningful cardiovascular benefit despite raising HDL","Clean CETP inhibition with no off-target blood pressure problem. Still no benefit. Confirmed target hypothesis itself was wrong not the compound.","Hamster and rabbit dyslipidemia models","B1 - Epidemiological correlation mistaken for causal mechanism","8","https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(12)61217-4/fulltext","Cleanest proof that CETP hypothesis was wrong at target level not compound level"
"CETP","Cardiovascular disease","Eli Lilly (Evacetrapib)","2015","Insufficient efficacy — no reduction in cardiovascular events","Third confirmation that CETP inhibition raises HDL but does not reduce heart attacks. Target hypothesis empirically falsified across three independent compounds.","Dyslipidemia animal models","B1 - Epidemiological correlation mistaken for causal mechanism","8","https://www.nejm.org/doi/full/10.1056/NEJMoa1609581","By this point the class failure was predictable from two prior failures"
"adenosine A1 receptor","Acute heart failure","Merck (Rolofylline)","2009","No better than placebo — increased seizure and stroke risk","A1 receptors in kidney were sound hypothesis. But A1 receptors also present in brain — blocking caused seizures and excess strokes. Rodent brains handle A1 blockade differently than humans.","Rodent heart failure models","A1 - Off-target CNS pathway active in humans underweighted in model","8","https://www.nejm.org/doi/full/10.1056/NEJMoa0912613","CNS A1 receptor biology is species-specific — preclinical models systematically underweight this"
